timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5765.0,-741.0,-224.0,1.0,-760.75,-556.0,1.0,845.5,577.3,1.0,843.0,531.0,1.0,-7.165,7.035
5766.0,-742.25,-286.25,1.0,-763.5,-645.5,1.0,842.0,606.2,1.0,849.25,700.5,1.0,-6.8125,6.7025
5767.0,-744.5,-442.0,1.0,-749.5,-631.0,1.0,838.5,635.0999999999999,1.0,847.5,573.0,1.0,-5.875,5.762499999999999
5768.0,-744.0,-471.5,1.0,-747.5,-517.5,1.0,835.0,664.0,1.0,829.75,589.25,1.0,-3.9975,3.9225
5769.0,-766.5,-428.25,1.0,-764.0,-462.75,1.0,814.6666666666666,552.6666666666666,1.0,819.5,717.5,1.0,-2.435,2.3075
5770.0,-773.0,-541.0,1.0,-761.0,-474.5,1.0,794.3333333333334,441.33333333333337,1.0,801.5,628.0,1.0,-1.8625,1.80125
5771.0,-775.5,-597.25,1.0,-771.0,-441.5,1.0,774.0,330.0,1.0,777.0,617.5,1.0,-0.5349999999999999,0.4225
5772.0,-786.0,-535.5,1.0,-797.5,-796.25,1.0,764.0,476.0,1.0,760.5,542.5,1.0,0.00625,-0.09625
5773.0,-783.0,-455.5,1.0,-796.0,-736.0,1.0,765.0,626.0,1.0,758.5,720.5,1.0,0.0,-0.09
5774.0,-766.0,-588.25,1.0,-773.5,-719.5,1.0,760.0,596.0,1.0,763.0,638.0,1.0,0.0,-0.09
5775.0,-754.5,-511.5,1.0,-756.5,-598.5,1.0,755.0,566.0,1.0,762.5,796.0,1.0,0.0,-0.09
5776.0,-753.5,-466.5,1.0,-749.0,-561.5,1.0,750.0,536.0,1.0,754.5,797.0,1.0,0.0,-0.09
5777.0,-760.0,-631.0,1.0,-749.75,-362.25,1.0,745.0,506.0,1.0,747.5,730.0,1.0,0.02,-0.0875
5778.0,-761.75,-438.25,1.0,-762.0,-568.0,1.0,740.0,476.0,1.0,741.0,659.0,1.0,-0.3025,0.0725
5779.0,-770.0,-543.0,1.0,-780.5,-576.5,1.0,745.0,675.0,1.0,740.0,730.5,1.0,-1.1324999999999998,1.155
5780.0,-767.0,-531.0,1.0,-777.0,-800.5,1.0,764.5,729.0,1.0,742.0,612.0,1.0,-1.77875,1.84625
5781.0,-752.25,-502.25,1.0,-768.25,-684.5,1.0,770.8125,708.375,1.0,755.0,601.0,1.0,-1.89,1.9575
5782.0,-747.0,-445.5,1.0,-758.0,-593.0,1.0,777.125,687.75,1.0,757.5,730.25,1.0,-2.0575,2.17875
5783.0,-743.5,-499.75,1.0,-745.5,-519.0,1.0,783.4375,667.125,1.0,766.5,701.0,1.0,-2.725,2.7475
